C: Cluster	Razor Protein
cluster 1	Q9ES97
cluster 1	Q9DCD0
cluster 1	Q9CYL5
cluster 1	Q93092
cluster 1	Q91ZX7
cluster 1	Q8K274
cluster 1	Q61768
cluster 1	Q05421
cluster 1	P84099
cluster 1	P84099
cluster 1	P84244
cluster 1	P63017
cluster 1	P60867
cluster 1	P56399
cluster 1	P48036
cluster 1	P27661
cluster 1	P16858
cluster 1	P16460
cluster 1	P16460
cluster 1	P16460
cluster 1	Q6ZWY9
cluster 1	P24549
cluster 1	O88685
cluster 1	Q8VCR7
cluster 1	Q91ZW3
cluster 1	Q61598
cluster 1	P09411
cluster 1	P28271
cluster 1	Q9QXD6
cluster 1	Q9D0R2
cluster 1	Q9D0R2
cluster 1	Q920E5
cluster 1	Q91YI0
cluster 1	Q8VC30
cluster 1	Q8R0Y6
cluster 1	Q60864
cluster 1	Q02053
cluster 1	P45591
cluster 1	P26041
cluster 1	P57780
cluster 1	P05201
cluster 1	Q9QZU9
cluster 1	Q9CQH7
cluster 1	Q91YH5
cluster 1	Q91V76
cluster 1	Q8VDD5
cluster 1	Q8VDD5
cluster 1	Q8K009
cluster 1	Q8BMJ3
cluster 1	Q6NXW6
cluster 1	Q64339
cluster 1	Q61598
cluster 1	P70168
cluster 1	P51658
cluster 1	P39054
cluster 1	P35505
cluster 1	P30115
cluster 1	P28271
cluster 1	P14152
cluster 1	P10649
cluster 1	P04919
cluster 1	A2AJL3
cluster 1	O70194
cluster 1	Q9D0R2
cluster 1	Q8CFE4
cluster 1	Q80SU7
cluster 1	P20491
cluster 1	Q78PY7
cluster 1	Q9D6Y9
cluster 1	Q8VE09
cluster 1	Q8VDD5
cluster 1	Q8BRF7
cluster 1	Q78PY7
cluster 1	Q68FH4
cluster 1	Q3U2P1
cluster 1	Q61768
cluster 1	Q01279
cluster 1	Q8BM55
cluster 1	Q60864
cluster 1	Q60710
cluster 1	Q5U464
cluster 1	Q3U0S6
cluster 1	Q3THK7
cluster 1	Q04750
cluster 1	Q60817
cluster 1	P28271
cluster 1	P17182
cluster 1	P09411
cluster 1	O70194
cluster 1	O70252
cluster 1	Q9Z1F9
cluster 1	Q9Z1F9
cluster 1	Q9WVK4
cluster 1	Q9WVE8
cluster 1	Q9QYJ0
cluster 1	Q9QXY6
cluster 1	Q9D0R2
cluster 1	Q9CZD3
cluster 1	Q9CYR6
cluster 1	Q99PG2
cluster 1	Q99MU3
cluster 1	Q99L88
cluster 1	Q99KK7
cluster 1	Q99JR1
cluster 1	Q922E4
cluster 1	Q91Z53
cluster 1	Q91Z53
cluster 1	Q91Z53
cluster 1	Q91X91
cluster 1	Q91VZ6
cluster 1	Q8VDD5
cluster 1	Q8VDD5
cluster 1	Q8VC30
cluster 1	Q8CJG0
cluster 1	Q8CAY6
cluster 1	Q8BWZ3
cluster 1	Q8BU30
cluster 1	Q8BTM8
cluster 1	Q8BRF7
cluster 1	Q8BGQ7
