code	taxid	primary taxid	taxname	ISGylation (Y/N) Protein uniprot	ISGylation (Y/N) GENE NCBI
1	10020	10020	Dipodomys ordii	Y	Y
1	10090	10090	Mus musculus	Y	Y
1	10116	10116	Rattus norvegicus	Y	Y
1	10141	10141	Cavia porcellus	Y	Y
1	10228	10228	Trichoplax adhaerens	N	N
1	1047171	1047171	Zymoseptoria tritici	N	N
1	1048829	1048829	Paracoccidioides lutzii	N	N
1	1051613	1051613	Verticillium alfalfae	N	N
1	109760	109760	Spizellomyces punctatus	N	N
1	1108849	1108849	Penicillium rubens	N	N
1	113608	113608	Tetrapisispora phaffii	N	N
1	117187	117187	Fusarium verticillioides	N	N
1	121225	121225	Pediculus humanus	N	N
1	126957	126957	Strigamia maritima	N	N
1	12957	12957	Atta cephalotes	N	N
1	13037	13037	Danaus plexippus	N	N
1	13125	13125	Lynx lynx	N	N
1	132908	132908	Pteropus vampyrus	N	Y
1	13333	13333	Amborella trichopoda	N	N
1	134558	134558	Ministeria vibrans	N	N
1	135651	135651	Caenorhabditis brenneri	N	N
1	136037	136037	Zootermopsis nevadensis	N	N
1	13616	13616	Monodelphis domestica	Y	Y
1	13684	13684	Parastagonospora nodorum	N	N
1	13735	13735	Pelodiscus sinensis	N	N
1	140110	140110	[Nectria] haematococca	N	N
1	148305	148305	Magnaporthe grisea	N	N
1	15368	15368	Brachypodium distachyon	N	N
1	164328	164328	Phytophthora ramorum	N	N
1	1681229	1681229	Blastomyces gilchristii	N	N
1	176946	176946	Python bivittatus	N	N
1	191816	191816	Lynx pardinus	N	N
1	192875	192875	Capsaspora owczarzaki	N	N
1	199306	199306	Coccidioides posadasii	N	N
1	208348	208348	Puccinia triticina	N	N
1	218847	218847	Proterospongia	N	N
1	225164	225164	Lottia gigantea	N	N
1	227086	227086	Bigelowiella natans	N	N
1	242159	242159	Ostreococcus 'lucimarinus'	N	N
1	27288	27288	Naumovozyma castellii	N	N
1	27289	27289	Naumovozyma dairenensis	N	N
1	272952	272952	Hyaloperonospora arabidopsidis	N	N
1	27923	27923	Mnemiopsis leidyi	N	N
1	281687	281687	Caenorhabditis japonica	N	N
1	28377	28377	Anolis carolinensis	N	Y
1	283909	283909	Capitella teleta	N	N
1	2850	2850	Phaeodactylum tricornutum	N	N
1	28564	28564	Talaromyces stipitatus	N	N
1	28985	28985	Kluyveromyces lactis	N	N
1	2903	2903	Emiliania huxleyi	N	N
1	29064	29064	Panthera uncia	N	N
1	29073	29073	Ursus maritimus	N	Y
1	296587	296587	Micromonas commoda	N	N
1	29760	29760	Vitis vinifera	N	N
1	29850	29850	Gaeumannomyces graminis	N	N
1	29875	29875	Trichoderma virens	N	N
1	29883	29883	Laccaria bicolor	N	N
1	30538	30538	Vicugna pacos	N	Y
1	3055	3055	Chlamydomonas reinhardtii	N	N
1	30608	30608	Microcebus murinus	N	Y
1	30611	30611	Otolemur garnettii	Y	Y
1	3067	3067	Volvox carteri	N	N
1	31033	31033	Takifugu rubripes	N	N
1	31234	31234	Caenorhabditis remanei	N	N
1	318829	318829	Magnaporthe oryzae	N	N
1	3218	3218	Physcomitrella patens	N	N
1	32264	32264	Tetranychus urticae	N	N
1	33085	33085	Entamoeba invadens	N	N
1	33169	33169	Eremothecium gossypii	N	N
1	33178	33178	Aspergillus terreus	N	N
1	33188	33188	Uncinocarpus reesii	N	N
1	34506	34506	Strongyloides ratti	N	N
1	34740	34740	Heliconius melpomene	N	N
1	35128	35128	Thalassiosira pseudonana	N	N
1	36033	36033	Vanderwaltozyma polyspora	N	N
1	36630	36630	Aspergillus fischeri	N	N
1	36911	36911	Clavispora lusitaniae	N	N
1	36914	36914	Lodderomyces elongisporus	N	N
1	3694	3694	Populus trichocarpa	N	N
1	3702	3702	Arabidopsis thaliana	N	N
1	3711	3711	Brassica rapa	N	N
1	37347	37347	Tupaia belangeri	N	N
1	37727	37727	Talaromyces marneffei	N	N
1	38033	38033	Chaetomium globosum	N	N
1	381046	381046	Lachancea thermotolerans	N	N
1	3847	3847	Glycine max	N	N
1	3988	3988	Ricinus communis	N	N
1	400682	400682	Amphimedon queenslandica	N	N
1	40559	40559	Botrytis cinerea	N	N
1	4081	4081	Solanum lycopersicum	N	N
1	4113	4113	Solanum tuberosum	N	N
1	42254	42254	Sorex araneus	N	Y
1	42374	42374	Candida dubliniensis	N	N
1	43151	43151	Anopheles darlingi	N	N
1	43179	43179	Ictidomys tridecemlineatus	N	Y
1	44689	44689	Dictyostelium discoideum	N	N
1	4513	4513	Hordeum vulgare	N	N
1	45151	45151	Pyrenophora tritici-repentis	N	N
1	45157	45157	Cyanidioschyzon merolae	N	N
1	45285	45285	Eremothecium cymbalariae	N	N
1	4530	4530	Oryza sativa	N	N
1	4533	4533	Oryza brachyantha	N	N
1	45351	45351	Nematostella vectensis	N	N
1	4555	4555	Setaria italica	N	N
1	4558	4558	Sorghum bicolor	N	N
1	4577	4577	Zea mays	N	N
1	460519	460519	Komagataella phaffii	N	N
1	4641	4641	Musa acuminata	N	N
1	4787	4787	Phytophthora infestans	N	N
1	4896	4896	Schizosaccharomyces pombe	N	N
1	4897	4897	Schizosaccharomyces japonicus	N	N
1	4924	4924	Scheffersomyces stipitis	N	N
1	4929	4929	Meyerozyma guilliermondii	N	N
1	4932	4932	Saccharomyces cerevisiae	N	N
1	4950	4950	Torulaspora delbrueckii	N	N
1	4952	4952	Yarrowia lipolytica	N	N
1	4956	4956	Zygosaccharomyces rouxii	N	N
1	4959	4959	Debaryomyces hansenii	N	N
1	5022	5022	Leptosphaeria maculans	N	N
1	5037	5037	Histoplasma capsulatum	N	N
1	5057	5057	Aspergillus clavatus	N	N
1	5059	5059	Aspergillus flavus	N	N
1	5062	5062	Aspergillus oryzae	N	N
1	5141	5141	Neurospora crassa	N	N
1	5145	5145	Podospora anserina	N	N
1	51453	51453	Trichoderma reesei	N	N
1	51511	51511	Ciona savignyi	N	N
1	5180	5180	Sclerotinia sclerotiorum	N	N
1	5207	5207	Cryptococcus neoformans	N	N
1	5270	5270	Ustilago maydis	N	N
1	5306	5306	Phanerochaete chrysosporium	N	N
1	5334	5334	Schizophyllum commune	N	N
1	5346	5346	Coprinopsis cinerea	N	N
1	53485	53485	Pyrenophora teres	N	N
1	54126	54126	Pristionchus pacificus	N	N
1	5476	5476	Candida albicans	N	N
1	5478	5478	[Candida] glabrata	N	N
1	5482	5482	Candida tropicalis	N	N
1	5501	5501	Coccidioides immitis	N	N
1	5507	5507	Fusarium oxysporum	N	N
1	5518	5518	Fusarium graminearum	N	N
1	552467	552467	Cryptococcus gattii VGIII	N	N
