tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	9636	0	live	ISG15	G1P2, IFI15, IMD38, IP17, UCRP, hUCRP	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon, alpha-inducible protein (clone IFI-15K)|interferon-induced 17-kDa/15-kDa protein|interferon-stimulated protein, 15 kDa|ubiquitin cross-reactive protein	1p36.33	1	NC_000001.11	1013467	1014540	plus	2	147571	
10090	Mus musculus	100038882	0	live	Isg15	G1p2, IGI15, IP17, Irfp, UCRP	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon, alpha-inducible protein|interferon-induced 15 kDa protein|interferon-induced 15-KDa protein|interferon-induced 17 kDa protein|interferon-stimulated protein (15 kDa)|interferon-stimulated protein 15|ubiquitin cross-reactive protein	4	4	NC_000070.6	156199424	156200818	minus	2		
9913	Bos taurus	281871	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|boUCRP|interferon-stimulated gene product 17|interferon-stimulated protein, 15 kDa|ubiquitin cross-reactive protein		16	AC_000173.1	52714627	52715654	minus	2		
10116	Rattus norvegicus	298693	0	live	Isg15	G1p2	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon, alpha-inducible protein (clone IFI-15K)	5q36	5	NC_005104.4	173624862	173629124	minus	3		
7955	Danio rerio	558956	0	live	isg15	g1p2, si:rp71-1c23.2	ISG15 ubiquitin-like modifier	si:rp71-1c23.2|interferon stimulated gene, 15 kDa|interferon, alpha-inducible protein|zfISG15		5	NC_007116.7	20112032	20113286	plus	2		
9940	Ovis aries	443057	0	live	ISG15	ISG17	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon stimulated gene 17		12	NC_019469.2	49466564	49467619	minus	2		
9615	Canis lupus familiaris	100855667	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		5	NC_006587.3	56230879	56237354	plus	3		
9796	Equus caballus	100066364	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		2	NC_009145.3	48856588	48857742	minus	2		
9598	Pan troglodytes	100609237	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		1	NC_036879.1	11888918	11890026	minus	2		
9915	Bos indicus	109570760	0	live	ISG15	ISG17/UCRP	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon-stimulated protein 15|interferon-stimulated protein 17/ubiquitin cross-reactive protein		16	NC_032665.1	48718787	48719863	minus	2		
9880	Odocoileus virginianus texanus	110124954	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9531	Cercocebus atys	105572443	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
43346	Bison bison bison	104995950	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
89462	Bubalus bubalis	102401758	0	live	ISG15	ISG17, ISG17/UCRP, UCRP	ISG15 ubiquitin-like modifier	ISG15 ubiquitin-like modifier|ubiquitin-like protein ISG15|interferon-stimulated protein 17|interferon-stimulated protein 17/ubiquitin cross-reactive protein		Un	NW_005785230.1	2163720	2164796	minus	2		
59538	Pantholops hodgsonii	102331791	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un	NW_005811080.1	367206	368269	minus	2		
72004	Bos mutus	102276802	0	live	ISG15	M91_10942	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|Ubiquitin-like protein ISG15		Un							
9925	Capra hircus	102169982	0	live	ISG15	ISG17/UCRP	ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon-stimulated protein 17/ubiquitin cross-reactive protein		16	NC_030823.1	49962961	49964077	minus	2		
9541	Macaca fascicularis	102119028	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		1	NC_022272.1	227410464	227411931	minus	3		
9555	Papio anubis	101022694	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9597	Pan paniscus	100989384	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		1	NC_027868.1	927417	928491	plus	2		
336983	Colobus angolensis palliatus	105522006	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9823	Sus scrofa	100145895	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		6	NC_010448.4	63363201	63364211	plus	2		
9685	Felis catus	100174787	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		C1	NC_018730.3	135976	137092	plus	2		
9544	Macaca mulatta	700141	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		1	NC_027893.1	116777	117931	plus	2		
9669	Mustela putorius furo	101685709	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15|interferon-alpha inducible 15kDa protein		Un							
51338	Castor canadensis	109685577	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9483	Callithrix jacchus	100384985	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		7	NC_013902.1	35530340	35531801	plus	2		
591936	Piliocolobus tephrosceles	111526846	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
10047	Meriones unguiculatus	110560368	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
10093	Mus pahari	110323809	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		6	NC_034595.1	107074490	107075709	minus	2		
10089	Mus caroli	110292529	0	live	Isg15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		4	NC_034573.1	146080382	146081804	minus	2		
61621	Rhinopithecus bieti	108516786	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
32536	Acinonyx jubatus	106988777	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9793	Equus asinus	106845250	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
37293	Aotus nancymaae	105727804	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
9568	Mandrillus leucophaeus	105555167	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
61622	Rhinopithecus roxellana	104673206	0	live	ISG15		ISG15 ubiquitin-like modifier	ubiquitin-like protein ISG15		Un							
